figure,panel_metric,arm,run_index,step,value
fig_msp_learning_curves,eval_lpips_last,Seq raw,2,20,0.21520917117595673
fig_msp_learning_curves,eval_lpips_last,Seq raw,2,30,0.21388566121459007
fig_msp_learning_curves,eval_lpips_last,Seq raw,3,0,0.22598793730139732
fig_msp_learning_curves,eval_lpips_last,Seq raw,3,10,0.21438984386622906
fig_msp_learning_curves,eval_lpips_last,Seq raw,3,20,0.21258394978940487
fig_msp_learning_curves,eval_lpips_last,Seq raw,3,30,0.20737586356699467
fig_msp_learning_curves,eval_lpips_last,Seq raw,4,0,0.22598793730139732
fig_msp_learning_curves,eval_lpips_last,Seq raw,4,10,0.23036734201014042
fig_msp_learning_curves,eval_lpips_last,Seq raw,4,20,0.22288378328084946
fig_msp_learning_curves,eval_lpips_last,Seq raw,4,30,0.21264063846319914
fig_msp_learning_curves,eval_lpips_last,Seq RC (Ours),0,0,0.22598793730139732
fig_msp_learning_curves,eval_lpips_last,Seq RC (Ours),0,10,0.21949118934571743
fig_msp_learning_curves,eval_lpips_last,Seq RC (Ours),0,20,0.20929587353020906
fig_msp_learning_curves,eval_lpips_last,Seq RC (Ours),0,30,0.20270127523690462
fig_msp_learning_curves,eval_lpips_last,Seq RC (Ours),1,0,0.22598793730139732
fig_msp_learning_curves,eval_lpips_last,Seq RC (Ours),1,10,0.22076986730098724
fig_msp_learning_curves,eval_lpips_last,Seq RC (Ours),1,20,0.2147399690002203
fig_msp_learning_curves,eval_lpips_last,Seq RC (Ours),1,30,0.21349385380744934
fig_msp_learning_curves,eval_lpips_last,Seq RC (Ours),2,0,0.22598793730139732
fig_msp_learning_curves,eval_lpips_last,Seq RC (Ours),2,10,0.22035105898976326
fig_msp_learning_curves,eval_lpips_last,Seq RC (Ours),2,20,0.21747738122940063
fig_msp_learning_curves,eval_lpips_last,Seq RC (Ours),2,30,0.21225946582853794
fig_msp_learning_curves,eval_lpips_last,Seq RC (Ours),3,0,0.22598793730139732
fig_msp_learning_curves,eval_lpips_last,Seq RC (Ours),3,10,0.21748605370521545
fig_msp_learning_curves,eval_lpips_last,Seq RC (Ours),3,20,0.21300353296101093
fig_msp_learning_curves,eval_lpips_last,Seq RC (Ours),3,30,0.20696753915399313
fig_msp_learning_curves,eval_lpips_last,Seq RC (Ours),4,0,0.22598793730139732
fig_msp_learning_curves,eval_lpips_last,Seq RC (Ours),4,10,0.22228319384157658
fig_msp_learning_curves,eval_lpips_last,Seq RC (Ours),4,20,0.21595037914812565
fig_msp_learning_curves,eval_lpips_last,Seq RC (Ours),4,30,0.21265277173370123
fig_msp_learning_curves,eval_lpips_last,"Return RC (Ours, full)",0,0,0.22598793730139732
fig_msp_learning_curves,eval_lpips_last,"Return RC (Ours, full)",0,10,0.21847275458276272
fig_msp_learning_curves,eval_lpips_last,"Return RC (Ours, full)",0,20,0.21067139972001314
fig_msp_learning_curves,eval_lpips_last,"Return RC (Ours, full)",0,30,0.20552422665059566
fig_msp_learning_curves,eval_lpips_last,"Return RC (Ours, full)",1,0,0.22598793730139732
fig_msp_learning_curves,eval_lpips_last,"Return RC (Ours, full)",1,10,0.2196686826646328
